City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Cockburn Town,TC,2023-01-04 12:32:23,21.4612,-71.1419,76.96,65,40,11.5
251,Nabire,ID,2023-01-04 12:32:23,-3.3667,135.4833,79.0,88,100,1.54
252,Genhe,CN,2023-01-04 12:32:24,50.7833,121.5167,-25.47,100,94,2.93
253,Klyuchi,RU,2023-01-04 12:32:25,52.2667,79.1667,20.48,90,100,20.49
254,Hlotse,LS,2023-01-04 12:32:26,-28.8718,28.045,74.34,42,88,1.97
255,Maumere,ID,2023-01-04 12:32:27,-8.6199,122.2111,80.2,85,86,7.83
256,Yuci,CN,2023-01-04 12:32:27,37.6803,112.7319,26.35,39,0,2.24
257,Inegol,TR,2023-01-04 12:32:30,40.0781,29.5133,49.28,54,6,4.45
258,Puerto Escondido,MX,2023-01-04 12:32:32,15.85,-97.0667,70.63,88,20,8.05
259,Vung Tau,VN,2023-01-04 12:28:29,10.346,107.0843,78.19,78,100,2.55
260,Klaksvik,FO,2023-01-04 12:32:33,62.2266,-6.589,40.12,84,84,10.27
261,Puerto Del Rosario,ES,2023-01-04 12:32:33,28.5004,-13.8627,71.35,73,20,12.66
262,Matamoros,MX,2023-01-04 12:32:34,25.5333,-103.25,48.67,34,6,2.06
263,Karratha,AU,2023-01-04 12:32:34,-20.7377,116.8463,80.94,73,100,25.08
264,Kyzyl-Suu,KG,2023-01-04 12:32:34,42.3414,78.0056,25.52,71,100,6.08
265,Airai,TL,2023-01-04 12:32:35,-8.9266,125.4092,61.61,87,100,2.77
266,Santa Rosa,PH,2023-01-04 12:32:36,14.3122,121.1114,76.98,95,100,18.81
267,Tighina,MD,2023-01-04 12:32:37,46.8306,29.4711,45.37,55,6,11.27
268,Abu Samrah,SY,2023-01-04 12:32:37,35.3029,37.1841,52.61,32,88,2.51
269,Nouadhibou,MR,2023-01-04 12:32:37,20.931,-17.0347,70.57,49,100,8.12
270,Longyearbyen,SJ,2023-01-04 12:32:38,78.2186,15.6401,30.04,80,75,6.91
271,Grand Gaube,MU,2023-01-04 12:32:39,-20.0064,57.6608,84.38,61,99,8.99
272,Kaduy,RU,2023-01-04 12:32:39,59.2,37.15,14.04,96,98,5.37
273,Havelock,US,2023-01-04 12:32:39,34.8791,-76.9013,69.78,87,100,11.5
274,Kjopsvik,NO,2023-01-04 12:32:39,68.097,16.3742,24.67,81,6,11.21
275,San Quintin,MX,2023-01-04 12:32:40,30.4833,-115.95,56.05,82,82,1.59
276,Svetlogorsk,BY,2023-01-04 12:32:40,52.6333,29.7333,34.0,69,91,9.19
277,Port Moresby,PG,2023-01-04 12:32:40,-9.4431,147.1797,76.42,88,40,8.05
278,Kadhan,PK,2023-01-04 12:33:41,24.481,68.9859,68.41,13,0,11.07
279,Kavieng,PG,2023-01-04 12:33:41,-2.5744,150.7967,80.76,70,100,5.7
280,Saldanha,ZA,2023-01-04 12:33:42,-33.0117,17.9442,75.25,66,67,18.59
281,Hobyo,SO,2023-01-04 12:33:42,5.3505,48.5268,80.01,69,31,22.79
282,Shubarshi,KZ,2023-01-04 12:33:42,48.5872,57.1869,35.8,99,100,15.46
283,Micheweni,TZ,2023-01-04 12:33:43,-4.9667,39.8333,82.99,68,64,14.54
284,Coruripe,BR,2023-01-04 12:33:43,-10.1256,-36.1756,84.88,60,31,12.35
285,Vangaindrano,MG,2023-01-04 12:33:43,-23.35,47.6,76.19,86,100,5.61
286,Feltre,IT,2023-01-04 12:33:44,46.0235,11.907,56.59,99,62,2.75
287,Anadyr,RU,2023-01-04 12:33:44,64.75,177.4833,-10.7,70,20,13.42
288,Ambulu,ID,2023-01-04 12:33:44,-8.345,113.6058,77.14,88,87,7.09
289,Itaituba,BR,2023-01-04 12:32:00,-4.2761,-55.9836,77.16,94,20,0.0
290,Songjianghe,CN,2023-01-04 12:33:45,42.1859,127.479,-1.37,92,5,4.52
291,Te Anau,NZ,2023-01-04 12:33:45,-45.4167,167.7167,59.05,83,100,0.54
292,Bilma,NE,2023-01-04 12:33:45,18.6853,12.9164,73.2,18,0,3.42
293,Namibe,AO,2023-01-04 12:33:46,-15.1961,12.1522,78.82,70,97,8.43
